FName,LName,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate DOUBLE,SingleExemp,ChildExemp
Yezdezard,Kheirbek,769,100-1550,HATTIESBURG,MS,39404,S,Y,62000,5.0,6000,1500
Mateo,Stamp,918,175-2051,ALEX,OK,73002,M,N,18000,6.25,0,0
Ioanna,Bel,920,149-1480,MADISON,WI,53786,S,Y,15500,4.7157183,700,400
Huichun,Schaul,317,151-1174,CRAWFORDSVILLE,IN,47936,M,Y,88000,3.4,0,1000
Coimbatore,Daskalakis,970,179-1132,LITTLETON-typoHARTMAN,CT,80161,S,Y,12000,4.63,0,0
Tripatinder,Blinzer,808,186-1492,PAPAIKOU,HI,96781,M,Y,4000,1.7605263,0,1040
Atsushi,Scharinger,802,111-1441,PROCTOR,VT,5765,M,N,82000,4.636554,0,0
Lev,Thibadeau,769,186-1011,SARDIS,MS,38666,S,Y,30000,5.0,6000,1500
Ladjel,Crelier,334,182-1539,MOBILE-typoNORTH FORT MYERS,AL-typoCT,36663,M,Y,11000,5.0,0,300
Simukai,Iline,208,113-1437,MCCALL,ID,83638,S,Y,31000,7.8,3300,3300
Yechiam,Zonta,801,194-1073,SALT LAKE CITY,UT,84110,S,N,60000,7.0,2475,0
Hiromu,Englert,701,150-1057,KARLSRUHE,ND,58744,M,N,63000,2.4860218,0,0
Toine,Swen,307,182-2006,BEULAH,WY,82712,S,Y,92500,0.0,0,0
Bodhisattwa,Honkela,401,103-1620,PROVIDENCE,RI,2912,M,Y,53000,0.0,0,0
Sinh,Leitner,480,156-1919,CIBECUE,AZ,85911,M,N,26000,3.1179998,0,0
Richara,Milberg,210,144-1427,VAN ALSTYNE,TX,75495,S,N,80500,0.0,0,0
Ruby,Gwertzman,803,124-1381,MOUNTVILLE,SC,29370,M,Y,10000,5.752432,0,3300
Amel,Brazell,718,143-1119,MAMARONECK,NY,10543,S,N,81000,4.422866,0,0
Max,Scholtes,410,155-1977,WILLARDS,MD,21874,S,Y,81000,4.75,2400,2400
Katsuto,Vanneste,802,183-1228,PITTSFIELD,VT,5762,M,Y,85000,4.69624,0,3300
Binghuan,Leece,715,182-1668,NEOSHO,WI,53059,M,Y,61500,5.514975,0,400
Koichi,Krychniak,567,151-1810,RUSSIA,OH,45363,M,Y,23500,1.3261051,0,1300
Ahuva,Augusteijn,304,149-1585,HUNTINGTON-typoMADISON LAKE,WV-typoGA,25777,M,Y,40000,5.1000004,0,2000
Nariyasu,Heiner,801,122-1310,SALINA,UT,84654,M,N,100000,7.0,0,0
Viiveke,Geidmanis,435,124-1255,AXTELL,UT,84621,M,Y,2000,3.8489566,0,2475
Wubin,Anton,302,115-1055,WILMINGTON,DE,19801,M,Y,79500,5.95,0,110
Eser,Dikel,801,135-1955,ALTONAH,UT,84002,S,Y,19500,7.0,2475,2475
Wil,Nahapetian,802,194-1111,MOSCOW,VT,5662,S,Y,48000,3.9601078,3300,3300
Zhongde,Vicolov,940,136-1720,BEACON FALLS,TX-typoGA,78609,M,Y,5500,0.0,0,0
Atanu,Rady,207,186-1460,COLUMBIA FALLS,ME,4623,M,Y,64000,8.5,0,2850
Ramamohanrao,Kohli,870,151-1622,BROCKWELL,AR,72517,S,N,60000,7.0,20,0
Jianyang,Akella,406,155-1486,SUN RIVER,MT,59483,M,Y,42000,6.9,0,1900
Hani,Bhuyan,406,175-1201,CUSTER,MT,59024,S,Y,14000,6.9,1900,1900
Pintsang,Kornacker,203,114-1161,PRESTON,CT,6365,S,N,28000,5.0,12750,0
Yeow,Strausfeld,907,139-1596,DILLINGHAM,AK,99576,S,Y,46500,0.0,0,0
Solange,Neukirchner,870,146-1911,JONES MILL,AR,72105,M,N,91500,7.0,0,0
Chokchai,Kishida,618,179-1720,PEKIN,IL,61554,M,N,43000,3.0,0,0
Reem,Haller,505,178-1069,LA JOYA,NM,87028,S,Y,2500,1.7,3300,3300
Petr,Brookner,224,148-1651,CHICAGO,IL,60621,S,N,8000,3.0,2000,0
Alia,Fosse,202,193-1734,WASHINGTON,DC,20203,S,N,42500,9.0,1370,0
Nari,Marinova,941,152-1469,GAINESVILLE,FL,32611,M,Y,76500,0.0,0,0
Prakash,Ahrenberg,970,135-1073,DENVER,CO,80280,M,N,61000,4.63,0,0
Wlodzimierz,Nemytykh,520,192-1688,SAN CARLOS,AZ,85550,M,N,6000,2.87,0,0
Guo,Shiloh,602,126-1686,ROUND ROCK,AZ,86547,S,Y,37500,3.2962499,2100,2300
Alexey,Accomazzi,606,111-1728,GRAHN,KY,41142,M,Y,40500,4.083333,0,20
Annalisa,Ruohonen,919,123-1017,HICKORY,NC,28601,S,Y,70500,7.2115383,3300,3300
Hisao,Strong,918,177-1759,OKLAHOMA CITY,OK,73153,S,N,75500,6.25,1000,0
Juliet,Worn,623,190-1394,CHANDLER,AZ,85286,S,N,66000,3.738,2100,0
Friedrich,Coray,702,114-1337,EUREKA,NV,89316,M,Y,61500,0.0,0,0
Jiawan,Harrang,720,160-1437,AULT,CO,80610,S,Y,83500,4.63,0,0
Nadene,Zinoviev,302,199-1017,MILLVILLE,DE,19967,S,N,34500,4.211364,110,0
Alia,Snedden,603,106-1801,LITTLETON,NH,3561,S,N,18500,0.0,0,0
Samual,Popa,802,179-2052,EAST MIDDLEBURY,VT,5740,S,N,55500,4.109324,3300,0
Liv,Hohberg,401,197-1083,FOSTER,RI,2825,S,N,58500,0.0,0,0
Aicha,Eilenberg,202,157-1023,WASHINGTON-typoALMONT,DC-typoNV,20571,M,Y,34500,9.0,0,1370
Boualem,Hepner,505,170-1784,LA PLATA,NM,87418,S,Y,64500,5.3,3300,3300
Qingyu,Dunfee,706,167-1836,OAKMAN,GA,30732,M,Y,54500,6.0,0,3000
Veronica,McMahan,253,120-1168,TACOMA,WA,98481,M,Y,16000,0.0,0,0
Seokwon,Ozhan,239,116-1976,CAPE CORAL,FL,33904,S,Y,50500,0.0,0,0
Mostefa,Gutenmakher,304,116-1740,BEAVER,WV,25813,S,N,59500,6.465,2000,0
Anca,Matthijssen,402,195-1865,WALTON,NE,68461,S,N,32000,6.84,103,0
Junsik,Yfoulis,678,128-1592,ATLANTA,GA,30355,S,N,27000,6.0,2700,0
Abrajit,Coney,334,172-1439,RIVERSIDE,AL,35135,S,N,100000,5.0,1500,0
Guogen,Korshunov,205,153-1397,MADISON LAKE,AL-typoWV,36576,S,Y,63500,5.0,1500,300
Jay,Kochs,937,173-1242,STOCKPORT,OH,43787,S,N,22000,1.2763128,1300,0
Olof,Rollins,586,118-1355,STERLING HEIGHTS,MI,48311,S,Y,12500,3.9,3100,3100
Spyrose,Bus,870,179-1113,TUCKER,AR,72168,M,N,11000,2.8168998,0,0
Moheb,Hacken,787,104-1281,BOQUERON,PR,622,S,N,24000,0.0,0,0
Naoshi,Babel,320,166-1033,FRONTENAC,MN,55026,S,Y,96000,7.85,3300,3300
Asim,Szilard,336,122-1749,WILMINGTON,NC,28401,S,Y,33000,6.424825,3300,3300
Kaj,Trevillyan,802,153-2073,PLAINFIELD,VT,5667,M,Y,17000,3.6,0,3300
Koichi,Czap,610,145-1361,COLVER,PA,15927,S,N,40000,3.07,0,0
Ryszard,Erman,859,134-1933,EWING,KY,41039,M,Y,65000,5.4444447,0,20
Guillaume,Colliat,267,189-1541,VALLEY FORGE,PA,19494,S,Y,6500,3.07,0,0
Hyeongil,Hollenbach,225,160-1674,LIVONIA,LA,70755,M,N,35500,6.0,0,0
Yasuyuki,Plat,870,141-1745,ALICIA,AR,72410,M,N,25000,6.16338,0,0
Merja,Strzalkowski,302,134-1613,HARTMAN,DE-typoNV,19720,M,N,99500,5.95,0,0
Fuchun,Danley,907,182-1727,SHAGELUK,AK,99665,S,Y,88500,0.0,0,0
Eneia,Sitarama,302,149-1860,WILMINGTON,DE,19890,M,Y,93000,5.95,0,110
Magdy,Erni,302,192-1742,HOUSTON,DE,19954,M,Y,5000,2.2,0,110
Munir,Derochette,334,187-1422,RAINSVILLE,AL,35986,M,Y,6500,5.0,0,300
Hongyuan,Atarashi,401,188-1638,PASCOAG,RI,2859,S,N,77000,0.0,0,0
Giri,Pulkowski,623,167-1719,PHOENIX,AZ,85001,M,N,95000,4.1875,0,0
Kieron,Jesus,406,110-2033,PONY,MT,59747,S,Y,20500,6.9,1900,1900
Mariam,Bozzano,785,169-1633,BLUE RAPIDS,KS,66411,S,N,82500,6.45,2250,0
Georgia,Matsliach,305,184-2037,CYPRESS,FL,32432,S,N,74500,0.0,0,0
Bent,Vieweg,307,114-1458,GRANITE CANON,WY,82059,M,N,36000,0.0,0,0
Ruixin,Prinz,216,196-1805,FINDLAY,OH,45839,M,N,83500,3.3177977,0,0
